run_id,job_id,stage_id,task,note,files_read,input_size_bytes,shuffle_read_bytes,shuffle_write_bytes,timestamp
job0,,35,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,baseline,0,0,59,0,2025-12-30T13:24:26.338879
job0,,34,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,baseline,0,0,0,0,2025-12-30T13:24:26.338901
job0,,33,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,baseline,638,12558,0,59,2025-12-30T13:24:26.338908
job0,,32,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,baseline,0,0,59,0,2025-12-30T13:24:26.338914
job0,,31,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,baseline,0,0,0,0,2025-12-30T13:24:26.338919
job0,,30,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,baseline,220,6005,0,59,2025-12-30T13:24:26.338925
job0,,29,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,baseline,0,0,59,0,2025-12-30T13:24:26.338932
job0,,28,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,baseline,0,0,0,0,2025-12-30T13:24:26.338937
job0,,27,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,baseline,60,1560,0,59,2025-12-30T13:24:26.338943
job0,,26,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,baseline,0,0,59,0,2025-12-30T13:24:26.338950
job0,,25,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,baseline,0,0,0,0,2025-12-30T13:24:26.338956
job0,,24,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,baseline,9,153,0,59,2025-12-30T13:24:26.338963
job0,,23,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,baseline,0,0,59,0,2025-12-30T13:24:26.338969
job0,,22,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,baseline,0,0,0,0,2025-12-30T13:24:26.338975
job0,,21,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,baseline,8,109,0,59,2025-12-30T13:24:26.338981
job0,,20,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,baseline,0,0,59,0,2025-12-30T13:24:26.338988
job0,,19,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,baseline,0,0,0,0,2025-12-30T13:24:26.338994
job0,,18,$anonfun$withThreadLocalCaptured$2 at CompletableFuture.java:1768,baseline,24,1289,0,59,2025-12-30T13:24:26.339000
